class,filename,loc,methods,lcom,tcc,cbo,changes,lines_added,lines_deleted,nlc,authors,fan_in,fan_out
WeightedSigmoidClassificationLoss,cartoonify/app/object_detection/core/losses.py,3,2,0,1.0,10,2,45,0,22.5,1,0,0
SigmoidFocalClassificationLoss,cartoonify/app/object_detection/core/losses.py,3,2,0,1.0,17,2,64,0,32.0,1,0,0
WeightedSoftmaxClassificationLoss,cartoonify/app/object_detection/core/losses.py,3,2,0,1.0,10,2,40,0,20.0,1,0,0
BootstrappedSigmoidClassificationLoss,cartoonify/app/object_detection/core/losses.py,3,2,0,1.0,12,2,64,0,32.0,1,0,0
HardExampleMiner,cartoonify/app/object_detection/core/losses.py,5,4,0,1.0,43,2,213,0,106.5,1,0,0
PrefetcherTest,cartoonify/app/object_detection/core/prefetcher_test.py,2,2,0,1.0,17,2,76,0,38.0,1,0,0
DetectionModel,cartoonify/app/object_detection/core/model.py,12,10,0,0.7,14,2,214,0,107.0,1,0,0
BatcherTest,cartoonify/app/object_detection/core/batcher_test.py,4,4,0,1.0,20,2,131,0,65.5,1,0,0
Match,cartoonify/app/object_detection/core/matcher.py,15,14,0,0.526,7,2,132,0,66.0,1,0,0
Matcher,cartoonify/app/object_detection/core/matcher.py,4,2,0,1.0,10,2,42,0,21.0,1,0,0
MaskRCNNBoxPredictorTest,cartoonify/app/object_detection/core/box_predictor_test.py,6,6,0,1.0,21,2,102,0,51.0,1,0,0
RfcnBoxPredictorTest,cartoonify/app/object_detection/core/box_predictor_test.py,2,2,0,1.0,18,2,47,0,23.5,1,0,0
ConvolutionalBoxPredictorTest,cartoonify/app/object_detection/core/box_predictor_test.py,5,5,0,1.0,23,2,146,0,73.0,1,0,0
BatchQueue,cartoonify/app/object_detection/core/batcher.py,3,2,0,1.0,28,2,111,0,55.5,1,0,0
TfExampleDecoderTest,cartoonify/app/object_detection/data_decoders/tf_example_decoder_test.py,16,16,0,0.974,39,2,323,0,161.5,1,0,0
TfExampleDecoder,cartoonify/app/object_detection/data_decoders/tf_example_decoder.py,4,3,0,1.0,22,2,157,0,78.5,1,0,0
InferDetectionsTests,cartoonify/app/object_detection/inference/detection_inference_test.py,2,2,0,1.0,14,2,100,0,50.0,1,0,0
DictToTFExampleTest,cartoonify/app/object_detection/dataset_tools/create_kitti_tf_record_test.py,2,2,1,0.0,17,2,102,0,51.0,1,0,0
DictToTFExampleTest,cartoonify/app/object_detection/dataset_tools/create_pascal_tf_record_test.py,2,2,1,0.0,17,2,90,0,45.0,1,0,0
TfExampleFromAnnotationsDataFrameTests,cartoonify/app/object_detection/dataset_tools/oid_tfrecord_creation_test.py,3,3,0,1.0,7,2,142,0,71.0,1,0,0
OpenOutputTfrecordsTests,cartoonify/app/object_detection/dataset_tools/oid_tfrecord_creation_test.py,1,1,0,1.0,12,2,17,0,8.5,1,0,0
ConvolutionalBoxPredictorBuilderTest,cartoonify/app/object_detection/builders/box_predictor_builder_test.py,3,3,0,1.0,16,2,126,0,63.0,1,0,0
MaskRCNNBoxPredictorBuilderTest,cartoonify/app/object_detection/builders/box_predictor_builder_test.py,4,4,0,1.0,16,2,118,0,59.0,1,0,0
RfcnBoxPredictorBuilderTest,cartoonify/app/object_detection/builders/box_predictor_builder_test.py,3,3,0,1.0,15,2,121,0,60.5,1,0,0
